#,method,return-type,invocations,collected-profiles,unique-profiles,generated-tests,passing-tests,failing-tests,descartes-classification,comments for failing test cases
76,org.broadleafcommerce.core.catalog.domain.SkuImpl.getCurrency,org.broadleafcommerce.common.currency.domain.BroadleafCurrency,415,415,128,128,128,0,pseudo-tested,
77,org.broadleafcommerce.core.catalog.domain.SkuImpl.getName,java.lang.String,394,394,182,182,84,98,strongly-tested,related to its implementation (external states?)
78,org.broadleafcommerce.core.catalog.domain.SkuImpl.isTaxable,java.lang.Boolean,24,24,12,12,12,0,strongly-tested,
79,org.broadleafcommerce.core.order.domain.OrderImpl.finalizeItemPrices,boolean,6,6,6,6,6,0,strongly-tested,
80,org.broadleafcommerce.core.order.domain.OrderImpl.getHasOrderAdjustments,boolean,6,6,6,6,6,0,strongly-tested,
81,org.broadleafcommerce.core.catalog.domain.SkuImpl.getBaseRetailPrice,org.broadleafcommerce.common.money.Money,4,4,4,4,0,4,pseudo-tested,"object comparison (related to BigDecimal ), e.g., expected:<6.98999...> but was:<6.99>"
82,org.broadleafcommerce.core.catalog.domain.SkuImpl.getBaseSalePrice,org.broadleafcommerce.common.money.Money,4,4,4,4,4,0,pseudo-tested,
83,org.broadleafcommerce.core.catalog.domain.SkuImpl.getPriceData,org.broadleafcommerce.core.catalog.service.dynamic.DynamicSkuPrices,4,4,4,4,0,4,pseudo-tested,object comparision
84,org.broadleafcommerce.core.catalog.service.dynamic.DynamicSkuPrices.getPrice,org.broadleafcommerce.common.money.Money,4,4,2,2,2,0,strongly-tested,
85,org.broadleafcommerce.core.pricing.service.fulfillment.provider.FixedPriceFulfillmentPricingProvider.canCalculateCostForFulfillmentGroup,boolean,4,4,2,2,2,0,strongly-tested,
86,org.broadleafcommerce.core.order.fulfillment.domain.FixedPriceFulfillmentOptionImpl.getPrice,org.broadleafcommerce.common.money.Money,2,2,1,1,0,1,pseudo-tested,"object comparison (related to BigDecimal ), e.g., expected:<6.98999...> but was:<6.99>"
*,TOTAL,,867,867,351,351,244,107,strongly-tested : 6 pseudo-tested : 5,
