#,method,invocations,collected-profiles,unique-profiles,generated-tests,passing-tests,failing-tests,descartes-classification,avg-size-on-disk-kb
1,org.apache.fontbox.ttf.GlyfSimpleDescript.getFlags,23471,23471,11730,117,117,0,tested,7.2042578501129055
2,org.apache.fontbox.ttf.HorizontalMetricsTable.getAdvanceWidth,275,275,174,174,174,0,tested,689.2017163636364
3,org.apache.fontbox.ttf.HorizontalMetricsTable.getLeftSideBearing,431,360,360,360,360,0,tested,583.503375
4,org.apache.fontbox.ttf.NamingTable.getName,650,563,273,273,273,0,tested,373.4797797513321
5,org.apache.fontbox.ttf.TrueTypeFont.getAdvanceWidth,275,275,174,174,174,0,tested,656.9546545454546
6,org.apache.fontbox.ttf.TTFDataStream.readUnsignedByteArray,431,431,431,43,43,0,tested,45.97158004640371
7,org.apache.pdfbox.pdfparser.COSParser.getEncryption,46,38,35,35,13,22,pseudo-tested,5842.01255263158
8,org.apache.pdfbox.pdfparser.XrefTrailerResolver.getXrefType,46,46,17,17,17,0,tested,55.15160869565218
9,org.apache.pdfbox.pdmodel.DefaultResourceCache.getColorSpace,72,29,27,27,4,23,tested,13898.12220689655
10,org.apache.pdfbox.pdmodel.DefaultResourceCache.getExtGState,49,24,22,22,4,18,pseudo-tested,9046.163666666665
11,org.apache.pdfbox.pdmodel.DefaultResourceCache.getFont,546,29,29,29,5,24,pseudo-tested,16934.686137931036
12,org.apache.pdfbox.pdmodel.DefaultResourceCache.getXObject,66,15,15,15,13,2,pseudo-tested,21077.033533333335
13,org.apache.pdfbox.pdmodel.font.FontCache.getFont,115,115,105,105,83,22,pseudo-tested,3330.511321739131
14,org.apache.pdfbox.pdmodel.font.PDCIDFont.getCIDSystemInfo,3,3,1,1,0,1,pseudo-tested,5684.029
15,org.apache.pdfbox.pdmodel.font.PDCIDFontType2.codeToGID,58,38,7,7,7,0,tested,5665.350368421053
16,org.apache.pdfbox.pdmodel.font.PDCIDFontType2.getPath,6,6,6,6,0,6,psuedo-tested,5671.654833333333
17,org.apache.pdfbox.pdmodel.font.PDCIDSystemInfo.getOrdering,12,12,1,1,1,0,tested,1.447
18,org.apache.pdfbox.pdmodel.font.PDCIDSystemInfo.getRegistry,3,3,1,1,1,0,tested,1.444
19,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.getFlags,227,227,54,54,54,0,tested,149.1460308370044
20,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isFixedPitch,21,21,6,6,6,0,partially-tested,5.678285714285715
21,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isItalic,21,21,6,6,6,0,tested,5.6781428571428565
22,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isSerif,21,21,6,6,6,0,tested,5.678
23,org.apache.pdfbox.pdmodel.font.PDFontDescriptor.isSymbolic,24,24,20,20,20,0,partially-tested,1385.8276666666668
24,org.apache.pdfbox.pdmodel.font.PDSimpleFont.hasExplicitWidth,274,144,117,117,117,0,partially-tested,1463.4411666666667
25,org.apache.pdfbox.pdmodel.font.PDSimpleFont.toUnicode,30840,37,35,35,35,0,tested,5763.665702702703
26,org.apache.pdfbox.pdmodel.font.PDTrueTypeFont.getPath,782,36,36,36,0,36,pseudo-tested,5878.417472222222
27,org.apache.pdfbox.pdmodel.graphics.color.PDICCBased.getDefaultDecode,16,16,8,8,8,0,tested,3192.905375
28,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getColorKeyMask,39,7,7,7,7,0,pseudo-tested,34747.07457142857
29,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getDecode,39,7,7,7,7,0,pseudo-tested,34746.45657142858
30,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getInterpolate,66,8,8,8,8,0,partially-tested,27062.50675
31,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getMask,66,13,13,13,13,0,pseudo-tested,17653.642
32,org.apache.pdfbox.pdmodel.graphics.image.PDImageXObject.getOptionalContent,33,7,7,7,7,0,pseudo-tested,34747.07457142857
33,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getAlphaSourceFlag,12,12,1,1,1,0,partially-tested,3.699
34,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getAutomaticStrokeAdjustment,33,33,4,4,4,0,tested,2.7786363636363633
35,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getNonStrokingAlphaConstant,12,12,1,1,1,0,partially-tested,3.693
36,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getNonStrokingOverprintControl,24,24,3,3,3,0,partially-tested,3.15025
37,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getOverprintMode,24,24,3,3,3,0,partially-tested,3.14425
38,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getSmoothnessTolerance,21,21,3,3,3,0,tested,2.248285714285714
39,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getSoftMask,20,20,4,4,4,0,pseudo-tested,3.24675
40,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getStrokingAlphaConstant,12,12,1,1,1,0,partially-tested,3.693
41,org.apache.pdfbox.pdmodel.graphics.state.PDExtendedGraphicsState.getStrokingOverprintControl,48,48,3,3,3,0,partially-tested,3.15025
42,org.apache.pdfbox.pdmodel.graphics.state.RenderingMode.isFill,30944,30944,1,1,1,0,partially-tested,0.158
43,org.apache.pdfbox.pdmodel.PDDocumentCatalog.getViewerPreferences,8,8,8,8,6,2,pseudo-tested,9200.273875
44,org.apache.pdfbox.pdmodel.PDResources.getExtGState,49,19,18,18,0,18,pseudo-tested,11335.06052631579
45,org.apache.pdfbox.rendering.TTFGlyph2D.getPathForCharacterCode,15472,34,34,34,0,34,pseudo-tested,6201.227088235294
46,org.apache.pdfbox.rendering.TTFGlyph2D.getPathForGID,15472,34,34,34,0,34,pseudo-tested,6200.795294117647
*,TOTAL,121175,57567,13856,1855,1613,242,tested/partially-tested:29 + pseudo-tested:17,289337.4321059043
