aspect,class_method,invocations,collected,avg_%CPU,avg_%MEM
99,RenderingMode_isFill,30944,30944,32,1.67
58,PDSimpleFont_toUnicode,30840,37,30.19,1.4
2,GlyfSimpleDescript_getFlags,23471,23471,23.83,1.93
124,TTFGlyph2D_getPathForCharacterCode,15472,34,29.83,1.48
125,TTFGlyph2D_getPathForGID,15472,34,31.76,1.43
59,PDTrueTypeFont_getPath,782,36,28.33,1.29
5,NamingTable_getName,659,563,31.68,1.26
17,DefaultResourceCache_getFont,546,29,28.59,1.41
4,HorizontalMetricsTable_getLeftSideBearing,431,360,28.87,1.34
6,TTFDataStream_readUnsignedByteArray,431,431,29.67,1.29
3,HorizontalMetricsTable_getAdvanceWidth,275,275,30.61,1.38
7,TrueTypeFont_getAdvanceWidth,275,275,32.56,1.44
57,PDSimpleFont_hasExplicitWidth,274,144,32.6,1.44
51,PDFontDescriptor_getFlags,227,227,29.66,1.23
40,FontCache_getFont,115,115,29.34,1.35
15,DefaultResourceCache_getColorSpace,72,25,30.27,1.44
20,DefaultResourceCache_getXObject,66,15,27.9,1.48
78,PDImageXObject_getInterpolate,66,8,28.33,1.31
79,PDImageXObject_getMask,66,13,30.06,1.42
46,PDCIDFontType2_codeToGID,58,38,30.38,1.42
16,DefaultResourceCache_getExtGState,49,24,29.83,1.44
25,PDResources_getExtGState,49,19,30.6,1.38
97,PDExtendedGraphicsState_getStrokingOverprintControl,48,48,29.13,1.23
13,COSParser_getEncryption,46,38,34.12,1.42
14,XrefTrailerResolver_getXrefType,46,46,30.86,1.35
76,PDImageXObject_getColorKeyMask,39,7,29.52,1.42
77,PDImageXObject_getDecode,39,7,30.88,1.43
90,PDExtendedGraphicsState_getAutomaticStrokeAdjustment,33,33,28.56,1.21
80,PDImageXObject_getOptionalContent,33,7,30.59,1.51
92,PDExtendedGraphicsState_getNonStrokingOverprintControl,24,24,28.31,1.27
93,PDExtendedGraphicsState_getOverprintMode,24,24,28.94,1.27
56,PDFontDescriptor_isSymbolic,24,24,27.86,1.29
94,PDExtendedGraphicsState_getSmoothnessTolerance,21,21,28.84,1.24
53,PDFontDescriptor_isFixedPitch,21,21,22,1.2
54,PDFontDescriptor_isItalic,21,21,22.1,1.12
55,PDFontDescriptor_isSerif,21,21,20.72,1.07
95,PDExtendedGraphicsState_getSoftMask,20,20,23.47,1.24
71,PDICCBased_getDefaultDecode,16,16,21,1.13
48,PDCIDSystemInfo_getOrdering,12,12,22.93,1.19
89,PDExtendedGraphicsState_getAlphaSourceFlag,12,12,22.89,1.2
91,PDExtendedGraphicsState_getNonStrokingAlphaConstant,12,12,25.47,1.17
96,PDExtendedGraphicsState_getStrokingAlphaConstant,12,12,20.16,1.14
24,PDDocumentCatalog_getViewerPreferences,8,8,23,1.17
47,PDCIDFontType2_getPath,6,6,21.62,1.16
42,PDCIDFont_getCIDSystemInfo,3,3,20.26,1.11
49,PDCIDSystemInfo_getRegistry,3,3,22.54,1.23
